r,rho
0.01,1.71E-05
0.03,0.0004816806
0.05,0.0023241399
0.07,0.0063057725
0.09,0.0121483306
0.11,0.0182193181
0.13,0.022796573
0.15,0.0255125477
0.17,0.0270092144
0.19,0.0278693244
0.21,0.0283905315
0.23,0.0287304888
0.25,0.0289704782
0.27,0.0291564088
0.29,0.0293137795
0.31,0.029458282
0.33,0.0295991612
0.35,0.0297426248
0.37,0.0298924981
0.39,0.030051624
0.41,0.0302218298
0.43,0.0304046535
0.45,0.0306011304
0.47,0.0308122503
0.49,0.0310386992
0.51,0.0312811868
0.53,0.0315401735
0.55,0.0318161164
0.57,0.0321091739
0.59,0.0324193712
0.61,0.0327462457
0.63,0.033088886
0.65,0.0334454226
0.67,0.0338127982
0.69,0.0341858534
0.71,0.0345564138
0.73,0.0349112385
0.75,0.0352291056
0.77,0.0354751272
0.79,0.035590886
0.81,0.0354746529
0.83,0.0349406609
0.85,0.0336246264
0.87,0.0307350692
0.89,0.0242414177
0.91,0.0069656472
0.93,0
0.95,0
0.97,0
0.99,0
